regime,tenor,epe,ene
Event-Driven Stress,1.8333333333333333,1145297.6175298549,-828034.1673466433
Event-Driven Stress,1.9166666666666667,1128766.2410843018,-823487.5956399662
Event-Driven Stress,2.0,1113001.8457975986,-820300.1765764097
Event-Driven Stress,2.0833333333333335,1103212.4753541918,-811933.8841685853
Event-Driven Stress,2.1666666666666665,1091162.9716685729,-802283.0298013458
Event-Driven Stress,2.25,1077808.9423859715,-793540.1518481843
Event-Driven Stress,2.3333333333333335,1064756.0010776315,-786410.4836290804
Event-Driven Stress,2.4166666666666665,1049697.153873882,-775188.044767449
Event-Driven Stress,2.5,1028615.361893686,-762336.7357894694
Event-Driven Stress,2.5833333333333335,1007452.395169456,-746847.1587932776
Event-Driven Stress,2.6666666666666665,988510.8501169202,-733170.845964258
Event-Driven Stress,2.75,974818.3907755854,-717440.4743407621
Event-Driven Stress,2.8333333333333335,964568.247881896,-700870.2065654226
Event-Driven Stress,2.9166666666666665,950958.001520173,-687106.0787539895
Event-Driven Stress,3.0,933077.3375205526,-671689.200416411
Event-Driven Stress,3.0833333333333335,913779.5544896236,-654124.8832061773
Event-Driven Stress,3.1666666666666665,896225.4469789808,-636792.4853272141
Event-Driven Stress,3.25,877088.0048825237,-620314.4620057514
Event-Driven Stress,3.3333333333333335,852009.6465883027,-605650.0211411427
Event-Driven Stress,3.4166666666666665,827042.616117228,-587143.9779651719
Event-Driven Stress,3.5,800123.5217962627,-571816.8130612253
Event-Driven Stress,3.5833333333333335,775569.8730146219,-553679.2716223423
Event-Driven Stress,3.6666666666666665,748575.9256803746,-533440.5162908669
Event-Driven Stress,3.75,721414.7351379198,-514616.074306202
Event-Driven Stress,3.8333333333333335,686821.4136698684,-494198.02115763293
Event-Driven Stress,3.9166666666666665,655184.0577137488,-473369.9577478826
Event-Driven Stress,4.0,620295.2691895065,-448050.8011687717
Event-Driven Stress,4.083333333333333,582725.0045284415,-420666.9290849966
Event-Driven Stress,4.166666666666667,545508.0058170393,-394595.0084839853
Event-Driven Stress,4.25,513653.47011776804,-364321.1418427536
Event-Driven Stress,4.333333333333333,482236.54003223905,-337647.1755681943
Event-Driven Stress,4.416666666666667,448896.5868023487,-313554.7507193961
Event-Driven Stress,4.5,407512.7576576789,-288546.62332980684
Event-Driven Stress,4.583333333333333,361730.0202001546,-259248.644988537
Event-Driven Stress,4.666666666666667,314906.56832967256,-221543.28853636107
Event-Driven Stress,4.75,263965.9940586692,-186107.57048109086
Event-Driven Stress,4.833333333333333,209788.619641004,-148676.71952256173
Event-Driven Stress,4.916666666666667,147053.42817360573,-109383.22735266517
Event-Driven Stress,5.0,78366.93391787332,-60551.4549437676
Macro Tightening,0.08333333333333333,546041.2209275041,-836791.4902112654
Macro Tightening,0.16666666666666666,532363.7690171131,-855024.8931120442
Macro Tightening,0.25,509284.32549462025,-882464.2947898477
Macro Tightening,0.3333333333333333,479253.031924758,-919721.9428283705
Macro Tightening,0.4166666666666667,447566.2211612108,-962319.0208124251
Macro Tightening,0.5,416894.34963340545,-1004112.3203790184
Macro Tightening,0.5833333333333334,388043.9512430678,-1043291.3493903414
Macro Tightening,0.6666666666666666,362239.10143713985,-1079020.7485864426
Macro Tightening,0.75,339804.8085297246,-1110396.8075895524
Macro Tightening,0.8333333333333334,320274.3271747398,-1135461.6600835957
Macro Tightening,0.9166666666666666,303835.8121678597,-1154449.9547632507
Macro Tightening,1.0,291171.8442328636,-1168853.9582813953
Macro Tightening,1.0833333333333333,280270.868308474,-1179340.3000460656
Macro Tightening,1.1666666666666667,270586.8496703198,-1185549.6294646002
Macro Tightening,1.25,261433.43182569323,-1186513.0506057166
Macro Tightening,1.3333333333333333,254071.78229982505,-1184325.818211864
Macro Tightening,1.4166666666666667,247385.7297027305,-1179767.091285889
Macro Tightening,1.5,242342.4747294754,-1170418.0591541133
Macro Tightening,1.5833333333333333,237489.3178352193,-1158936.4243681007
Macro Tightening,1.6666666666666667,231477.46709812037,-1145083.8745256243
Macro Tightening,1.75,226528.81441578845,-1131345.4234026046
Macro Tightening,1.8333333333333333,221573.18723720993,-1115301.8717293965
Macro Tightening,1.9166666666666667,215771.3605448364,-1100339.378535788
Macro Tightening,2.0,211051.70730081282,-1083516.7358047327
Macro Tightening,2.0833333333333335,206965.38146595765,-1069148.0900302401
Macro Tightening,2.1666666666666665,203400.38687036588,-1053979.7052876563
Macro Tightening,2.25,201006.3592888384,-1039408.9851426001
Macro Tightening,2.3333333333333335,199999.34747695754,-1026067.1631920938
Macro Tightening,2.4166666666666665,197894.590239326,-1011223.0716017757
